Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
SPRAGUE RESOURCES COM UNT (XNYS:SRLP),SRLP,Energy,$22.16,0.12,0.54%,508490119,20866,$22.89,$9.83,#FIELD!,#FIELD!,"38,287"
"STARTEK, INC. (XNYS:SRT)",SRT,Technology,$8.50,0.17,2.04%,342488418,11492,$9.05,$2.75,1.41,0,"60,890"
Cushing MLP & Infra TR (XNYS:SRV),SRV,,$24.71,0.16,0.65%,53951592,1892,$36.40,$6.00,#FIELD!,#FIELD!,"12,535"
"SIMPSON MANUFACTURING CO., INC. (XNYS:SSD)",SSD,Capital Goods,$98.47,-1.55,-1.55%,4275712052,159617,$105.89,$47.02,1.23,23.43,"235,873"
SASOL LIMITED (XNYS:SSL),SSL,Energy,$12.92,-0.16,-1.22%,8189080577,416259,$14.37,$1.25,3.82,0,"967,111"
"SHUTTERSTOCK, INC. (XNYS:SSTK)",SSTK,Technology,$87.40,-1.825,-2.05%,3168605006,162570,$96.50,$28.76,1.13,45.43,"382,041"
SENSATA TECHNOLOGIES HOLDING PLC (XNYS:ST),ST,Capital Goods,$60.05,0.74,1.25%,9466611314,661363,$61.64,$18.25,1.47,60.02,"1,384,867"
"STAG INDUSTRIAL, INC. (XNYS:STAG)",STAG,Consumer Services,$31.93,-0.105,-0.33%,5056903144,657268,$34.50,$17.54,0.87,24.31,"983,921"
ISTAR INC. (XNYS:STAR),STAR,Consumer Services,$17.56,-0.19,-1.07%,1297191916,207453,$18.22,$5.48,0.71,0,"582,868"
STEWART INFORMATION SERVICES CORPORATION (XNYS:STC),STC,Finance,$49.12,0.13,0.27%,1312879360,85723,$55.93,$20.26,1.03,8.05,"195,667"
STERIS plc (XNYS:STE),STE,Health Care,$177.48,-0.295,-0.17%,15147972740,264958,$203.91,$105.69,0.51,35.32,"645,470"
Sunlands Technology Group (XNYS:STG),STG,Consumer Services,$1.20,-0.035,-2.85%,201034760,189946,$2.95,$0.68,#FIELD!,0,"2,399,608"
NORTHERN STAR ACQUISITION CORP. (XNYS:STIC),STIC,Consumer Services,$12.80,0,0.00%,406960000,384376,$19.54,$11.50,#FIELD!,0,"1,109,901"
Columbia Sel Prm Tech Gr (XNYS:STK),STK,,$30.40,-0.17,-0.56%,483111085,80989,$31.52,$13.50,8.75,#FIELD!,"67,508"
STERLING BANCORP (XNYS:STL),STL,Finance,$22.38,-0.065,-0.29%,4316660426,2550922,$23.31,$7.01,1.71,19.96,"3,243,917"
STMicroelectronics NV (XNYS:STM),STM,Technology,$37.46,-0.685,-1.80%,33825955685,3672035,$43.02,$14.67,1.56,31.9,"2,506,487"
Stantec Inc. (XNYS:STN),STN,Consumer Services,$40.84,0.28,0.69%,4542685516,51417,$41.03,$21.43,0.77,36.37,"102,378"
SCORPIO TANKERS INC. (XNYS:STNG),STNG,Transportation,$16.09,0.59,3.81%,934718735,672251,$28.21,$8.28,1.13,11.74,"1,803,142"
STONEMOR INC. (XNYS:STON),STON,Consumer Services,$2.22,0.0195,0.89%,284487764,51790,$3.71,$0.46,1.08,0,"186,045"
STORE CAPITAL CORPORATION (XNYS:STOR),STOR,Consumer Services,$33.09,-0.72,-2.13%,8727675782,796705,$35.72,$13.00,1.23,40.28,"1,635,311"
Star Peak Energy Transition Corp (XNYS:STPK),STPK,Miscellaneous,$35.40,-0.03,-0.09%,1697363802,1324090,$51.49,$9.60,#FIELD!,0,"4,620,471"
STATE STREET CORPORATION (XNYS:STT),STT,Finance,$77.42,0.68,0.89%,27235299759,1022293,$81.08,$42.10,1.6,12.15,"3,117,621"
"STARWOOD PROPERTY TRUST, INC. (XNYS:STWD)",STWD,Consumer Services,$23.41,0.15,0.65%,6664537512,748343,$24.13,$7.59,1.71,20.63,"2,404,740"
"CONSTELLATION BRANDS, INC. (XNYS:STZ)",STZ,Consumer Non-Durables,$218.53,0.775,0.36%,42373904131,480261,$242.62,$104.28,1.19,22.65,"1,236,158"
"CONSTELLATION BRANDS, INC. (XNYS:STZ)",STZ,,$220.17,0,0.00%,,16,$242.62,$104.28,1.19,22.65,"1,236,158"
SUNCOR ENERGY INC. (XNYS:SU),SU,Energy,$20.78,0.54,2.67%,31692633499,9978597,$27.88,$9.61,1.98,0,"10,245,286"
"SUN COMMUNITIES, INC. (XNYS:SUI)",SUI,Consumer Services,$150.62,0.54,0.36%,16209158973,203759,$172.27,$95.34,0.54,111.69,"668,518"
"SUMMIT MATERIALS, INC. (XNYS:SUM)",SUM,Basic Industries,$27.77,-0.32,-1.14%,3187889335,492709,$29.30,$7.51,1.36,23.41,"1,435,050"
SUNOCO UNT (XNYS:SUN),SUN,Energy,$31.46,0.05,0.16%,3138276004,144812,$33.00,$10.46,#FIELD!,#FIELD!,"552,700"
"SUPERIOR INDUSTRIES INTERNATIONAL, INC. (XNYS:SUP)",SUP,Capital Goods,$6.09,0.11,1.84%,155854854,114962,$7.39,$0.90,5,0,"449,910"
Grupo Supervielle SA (XNYS:SUPV),SUPV,Finance,$1.90,-0.01,-0.52%,173554482,407383,$3.68,$1.28,1.48,3.47,"3,922,385"
Suzano SA (XNYS:SUZ),SUZ,Basic Industries,$13.02,-0.23,-1.74%,17566864972,465810,$14.45,$4.43,#FIELD!,0,"786,795"
"SWITCH, INC. (XNYS:SWCH)",SWCH,Technology,$15.31,-2.3915,-13.51%,3687776975,6993961,$19.99,$10.30,0.7,127.78,"1,629,970"
SolarWinds Corp (XNYS:SWI),SWI,Technology,$16.39,-0.34,-2.03%,5147150298,516226,$24.34,$11.50,#FIELD!,33.69,"1,663,409"
"STANLEY BLACK & DECKER, INC. (XNYS:SWK)",SWK,Capital Goods,$184.39,3.66,2.03%,29667061008,911988,$195.00,$70.00,1.43,23.44,"1,290,728"
"SCHWEITZER-MAUDUIT INTERNATIONAL, INC. (XNYS:SWM)",SWM,Basic Industries,$47.94,-0.165,-0.34%,1501484207,47225,$48.49,$20.00,1.17,17.16,"234,614"
SOUTHWESTERN ENERGY COMPANY (XNYS:SWN),SWN,Energy,$4.29,0.03,0.70%,2893266274,6789835,$4.69,$1.06,1.48,0,"19,647,706"
STANLEY BLACK DECKER UNT (XNYS:SWT),SWT,Capital Goods,$111.97,1.8349,1.67%,0,52784,$116.17,$50.68,#FIELD!,#FIELD!,"55,583"
"SOUTHWEST GAS HOLDINGS, INC. (XNYS:SWX)",SWX,Public Utilities,$62.89,-0.75,-1.18%,3574060900,429440,$81.62,$45.68,0.12,16,"418,872"
Swiss Helvetia Fund (XNYS:SWZ),SWZ,,$9.00,0.04,0.45%,119358099,4650,$9.36,$5.54,#FIELD!,#FIELD!,"17,945"
"SUNCOKE ENERGY, INC. (XNYS:SXC)",SXC,Basic Industries,$6.80,0.23,3.50%,562859521,407162,$7.29,$2.33,1.15,150.21,"916,356"
STANDEX INTERNATIONAL CORPORATION (XNYS:SXI),SXI,Technology,$102.95,1.11,1.09%,1272125148,24552,$103.83,$37.50,1.33,30.92,"64,811"
SENSIENT TECHNOLOGIES CORPORATION (XNYS:SXT),SXT,Basic Industries,$77.46,-0.73,-0.93%,3285731201,122445,$80.03,$38.24,0.95,30.25,"291,706"
SYNCHRONY FINANCIAL (XNYS:SYF),SYF,Finance,$39.78,-0.22,-0.55%,23226818203,3195797,$40.69,$12.15,1.84,17.58,"6,678,246"
STRYKER CORPORATION (XNYS:SYK),SYK,Health Care,$246.56,0.75,0.31%,92756104260,405546,$250.02,$124.54,0.96,58.52,"1,384,952"
SYSTEMAX INC. (XNYS:SYX),SYX,Capital Goods,$37.15,-0.31,-0.83%,1389871032,47295,$45.35,$13.24,0.51,23.88,"107,744"
SYSCO CORPORATION (XNYS:SYY),SYY,Consumer Non-Durables,$80.70,-0.215,-0.27%,41187693596,969595,$81.88,$26.00,1.44,0,"2,468,428"
Cushing NextGen Inf Inc (XNYS:SZC),SZC,,$41.16,-0.082,-0.20%,107081345,7707,$45.48,$12.96,1.02,#FIELD!,"13,656"
AT&T INC. (XNYS:T),T,Public Utilities,$28.34,0.25,0.89%,2.02E+11,19084796,$38.22,$26.08,0.72,0,"43,089,277"
TransAlta Corporation (XNYS:TAC),TAC,Public Utilities,$8.80,0,0.00%,2412960000,134466,$9.78,$3.63,1.37,0,"302,676"
Takeda Pharmaceutical Company Limited (XNYS:TAK),TAK,Health Care,$17.32,0.335,1.97%,54590313254,1788997,$20.00,$12.43,#FIELD!,0,"4,762,290"
TAL Education Group (XNYS:TAL),TAL,Consumer Services,$78.98,-0.81,-1.02%,47418581767,1020159,$90.96,$45.15,0.15,0,"3,299,547"
TALOS ENERGY INC. (XNYS:TALO),TALO,Energy,$10.84,-0.06,-0.55%,881075081,205178,$16.81,$5.00,#FIELD!,0,"924,587"
MOLSON COORS BEVERAGE COMPANY (XNYS:TAP),TAP,Consumer Non-Durables,$45.16,0.3141,0.70%,9790697174,673412,$56.10,$32.11,1.09,0,"2,799,366"
TARO PHARMACEUTICAL INDUSTRIES LTD. (XNYS:TARO),TARO,Health Care,$73.41,0.5,0.69%,2808525433,11214,$80.00,$53.95,1.06,0,"32,282"
PT Bukit Asam Tbk (XFRA:TBA),TBA,Finance,$11.43,-0.22,-1.89%,1456182000,354182,€ 0.31,€ 0.08,1.07,10.73,#FIELD!
AT&T INC. (XNYS:TBB),TBB,Public Utilities,$25.97,0.0928,0.36%,0,28631,$27.62,$22.31,0.72,0,"69,269"
AT&T INC. (XNYS:TBC),TBC,Public Utilities,$26.56,0.0605,0.23%,0,36705,$28.18,$22.20,0.72,0,"60,474"
"TRUEBLUE, INC. (XNYS:TBI)",TBI,Technology,$20.54,-0.23,-1.11%,728882029,71070,$22.24,$12.02,1.68,0,"266,335"
"TRANSCONTINENTAL REALTY INVESTORS, INC. (XNYS:TCI)",TCI,Consumer Services,$21.06,-0.37,-1.73%,183596173,1249,$40.42,$16.00,0.91,192.8,"3,050"
TC PIPELINES UNT (XNYS:TCP),TCP,Public Utilities,$30.54,0.815,2.74%,2235357302,940696,$39.69,$18.00,#FIELD!,#FIELD!,"983,414"
"THE CONTAINER STORE GROUP, INC. (XNYS:TCS)",TCS,Consumer Services,$16.84,0.58,3.57%,850228394,722413,$18.48,$1.80,1.32,22.4,"1,713,432"
THE TORONTO-DOMINION BANK (XNYS:TD),TD,Finance,$62.41,0.96,1.56%,1.13E+11,1185120,$63.78,$33.74,0.86,11.94,"1,763,298"
"TELEPHONE AND DATA SYSTEMS, INC. (XNYS:TDA)",TDA,Public Utilities,$24.66,0.01,0.04%,0,10657,$25.77,$10.56,1.14,0,"11,561"
TERADATA CORPORATION (XNYS:TDC),TDC,Technology,$41.23,-0.9,-2.14%,4506439000,1403589,$59.58,$17.62,1.21,36.7,"4,322,746"
"TELEPHONE AND DATA SYSTEMS, INC. (XNYS:TDE)",TDE,Public Utilities,$25.20,0.01,0.04%,0,9959,$26.00,$12.62,1.14,0,"17,233"
Templeton Dragon Fund (XNYS:TDF),TDF,,$25.72,-0.05,-0.19%,869442558,25815,$27.64,$13.87,0.82,#FIELD!,"51,867"
TRANSDIGM GROUP INCORPORATED (XNYS:TDG),TDG,Capital Goods,$599.87,2.995,0.50%,32805967796,61172,$625.05,$200.06,1.67,86.79,"331,315"
"TELEPHONE AND DATA SYSTEMS, INC. (XNYS:TDI)",TDI,Public Utilities,$25.24,0.03,0.12%,0,9738,$27.87,$12.50,1.14,0,"5,792"
"TELEPHONE AND DATA SYSTEMS, INC. (XNYS:TDJ)",TDJ,Public Utilities,$25.43,0.05,0.20%,0,22101,$26.00,$12.50,1.14,0,"28,102"
"Teladoc Health, Inc. (XNYS:TDOC)",TDOC,Health Care,$220.21,-3.1817,-1.42%,33093145333,1985055,$308.00,$102.01,0.3,0,"3,425,739"
TIDEWATER INC. (XNYS:TDW),TDW,Consumer Services,$13.50,0.66,5.14%,547379735,89437,$14.86,$4.09,1.99,0,"178,492"
TELEDYNE TECHNOLOGIES INCORPORATED (XNYS:TDY),TDY,Capital Goods,$378.49,-1.8,-0.47%,13986515075,74874,$413.31,$195.34,1.1,35.89,"300,210"
Tortoise Ess Asst Inc Tm (XNYS:TEAF),TEAF,,$14.15,0.017,0.12%,190858974,50035,$16.13,$6.10,#FIELD!,#FIELD!,"55,207"
Teck Resources Limited (XNYS:TECK),TECK,Basic Industries,$21.45,0.395,1.88%,11378717000,2595584,$23.93,$5.60,1.38,45.58,"4,959,329"
Telefonica SA (XNYS:TEF),TEF,Public Utilities,$4.54,0.09,2.02%,24737862659,765499,$6.08,$3.22,0.79,14.83,"1,727,182"
Templeton Emrg Mkts Inc (XNYS:TEI),TEI,,$7.62,0.02,0.26%,365747945,54691,$9.10,$6.32,0.52,#FIELD!,"157,751"
TE Connectivity SA (XNYS:TEL),TEL,Technology,$135.31,1.13,0.84%,44772558657,987047,$135.52,$48.62,1.38,462.55,"2,031,845"
TENNECO INC. (XNYS:TEN),TEN,Capital Goods,$11.67,0.36,3.18%,953313372,651402,$12.94,$2.21,2.74,0,"1,155,150"
Telecom Argentina SA (XNYS:TEO),TEO,Public Utilities,$5.72,-0.1,-1.72%,4920778600,225978,$11.78,$5.65,0.52,28.35,"284,454"
TEVA PHARMACEUTICAL INDUSTRIES LIMITED (XNYS:TEVA),TEVA,Health Care,$10.73,-0.19,-1.74%,11765572172,5329191,$13.30,$6.25,1.5,0,"10,458,279"
TEREX CORPORATION (XNYS:TEX),TEX,Capital Goods,$43.39,-0.0337,-0.08%,3011009220,270178,$44.43,$11.54,1.74,321.56,"691,553"
Truist Financial Corporation (XNYS:TFC),TFC,Finance,$58.69,-0.12,-0.20%,79067080611,2075686,$61.26,$24.01,1.36,19.07,"5,738,235"
TFI International Inc. (XNYS:TFII),TFII,,$73.11,0.63,0.87%,6828326683,101613,$81.46,$15.24,1.45,29.31,"376,936"
TELEFLEX INCORPORATED (XNYS:TFX),TFX,Health Care,$404.18,0.5,0.12%,18821334869,78225,$414.72,$221.27,1.2,56.85,"184,892"
TREDEGAR CORPORATION (XNYS:TG),TG,Capital Goods,$15.96,0.09,0.57%,534624377,44263,$17.84,$8.01,1.07,0,"139,069"
TEXTAINER GROUP HOLDINGS LIMITED (XNYS:TGH),TGH,Technology,$26.87,1.91,7.65%,1356821850,1405224,$29.17,$5.50,1.49,17.74,"690,292"
"TRIUMPH GROUP, INC. (XNYS:TGI)",TGI,Capital Goods,$16.20,0.6,3.85%,890648104,657136,$19.31,$3.02,3.3,0,"1,409,173"
TEGNA INC. (XNYS:TGNA),TGNA,Consumer Services,$17.93,-0.125,-0.69%,3929904873,1001115,$19.27,$9.61,1.29,8.24,"1,855,363"
TEEKAY LNG PARTNERS UNT (XNYS:TGP),TGP,Consumer Services,$13.88,-0.1,-0.72%,1206800972,78587,$14.30,$7.00,#FIELD!,#FIELD!,"216,548"
Transportadora de Gas del Sur SA (XNYS:TGS),TGS,Public Utilities,$4.65,-0.05,-1.06%,702717365,82488,$6.77,$3.72,0.49,5.14,"109,649"
TARGET CORPORATION (XNYS:TGT),TGT,Consumer Services,$176.96,-9.13,-4.91%,88616815031,15484139,$199.96,$90.17,1,24.66,"3,177,570"
TENET HEALTHCARE CORPORATION (XNYS:THC),THC,Health Care,$53.27,0.39,0.74%,5657076635,454923,$54.23,$10.00,2.64,14.72,"1,067,669"
"THE HANOVER INSURANCE GROUP, INC. (XNYS:THG)",THG,Finance,$120.08,0.41,0.34%,4369397671,115993,$125.81,$75.11,0.95,12.46,"231,364"
"THOR INDUSTRIES, INC. (XNYS:THO)",THO,Consumer Non-Durables,$119.65,-2.2,-1.81%,6624570736,296968,$132.12,$32.30,2.38,23.69,"870,872"
Tekla Healthcare Opps (XNYS:THQ),THQ,,$21.30,-0.2,-0.93%,880551521,132421,$21.98,$11.50,#FIELD!,#FIELD!,"107,461"
"THERMON GROUP HOLDINGS, INC. (XNYS:THR)",THR,Energy,$20.91,-0.17,-0.81%,694154790,84641,$22.61,$9.98,1.68,0,"178,171"
"TREEHOUSE FOODS, INC. (XNYS:THS)",THS,Consumer Non-Durables,$49.08,-0.98,-1.96%,2743180096,361341,$53.98,$33.50,0.69,158.65,"873,959"
Tekla World Healthcare (XNYS:THW),THW,,$15.38,-1.04,-6.33%,464803594,512329,$17.92,$8.76,#FIELD!,#FIELD!,"150,744"
Tim SA (XNYS:TIMB),TIMB,Public Utilities,$11.03,-0.29,-2.56%,5340323526,320263,$19.05,$9.92,0.93,15.52,"385,342"
"TEAM, INC. (XNYS:TISI)",TISI,Consumer Services,$11.23,-0.75,-6.26%,343951115,41692,$13.01,$3.75,2.08,0,"138,561"
"THE TJX COMPANIES, INC. (XNYS:TJX)",TJX,Consumer Services,$66.87,-0.38,-0.57%,80286207408,3581557,$71.06,$32.72,0.99,"1,101.38","7,458,938"
TEEKAY CORPORATION (XNYS:TK),TK,Transportation,$3.27,0.125,3.98%,330120513,611300,$4.88,$1.70,1.34,0,"1,167,296"
Turkcell Communication Services Inc. (XNYS:TKC),TKC,Public Utilities,$5.51,-0.05,-0.90%,4811566048,142438,$6.36,$4.36,0.62,8.51,"375,592"
THE TIMKEN COMPANY (XNYS:TKR),TKR,Capital Goods,$80.14,-1.32,-1.62%,6067458303,242075,$86.44,$22.26,1.79,21.86,"835,544"
PT Telkom Indonesia (Persero) Tbk (XNYS:TLK),TLK,Public Utilities,$24.16,-0.14,-0.58%,23933431531,87422,$26.53,$15.85,0.81,20.98,"203,936"
"TILLY'S, INC. (XNYS:TLYS)",TLYS,Consumer Services,$10.70,0,0.00%,318656133,38421,$11.20,$3.46,2.06,0,"181,583"
TOYOTA MOTOR CORPORATION (XNYS:TM),TM,Capital Goods,$150.02,0.6785,0.45%,2.10E+11,192350,$163.37,$108.01,0.62,14.25,"413,767"
TENCENT MUSIC ENTERTAINMENT GROUP (XNYS:TME),TME,Consumer Services,$27.56,0.625,2.32%,46224420961,3420139,$29.01,$9.22,#FIELD!,76.73,"14,342,580"
TAYLOR MORRISON HOME CORPORATION (XNYS:TMHC),TMHC,Capital Goods,$28.23,0.19,0.68%,3636845211,361621,$31.11,$6.39,1.78,15.3,"1,172,903"
THERMO FISHER SCIENTIFIC INC. (XNYS:TMO),TMO,Capital Goods,$462.88,3.315,0.72%,1.82E+11,849634,$532.57,$250.21,0.78,28.76,"1,781,608"
TIMKENSTEEL CORPORATION (XNYS:TMST),TMST,Basic Industries,$8.56,-0.06,-0.70%,386500778,653171,$9.54,$2.16,2.02,0,"2,701,620"
"TERMINIX GLOBAL HOLDINGS, INC. (XNYS:TMX)",TMX,Consumer Services,$45.98,0.01,0.02%,6074299126,322949,$55.00,$17.63,0.76,319.57,"641,476"
Tennant Company (XNYS:TNC),TNC,Technology,$77.84,-0.4,-0.51%,1437952954,29028,$79.74,$46.64,1.17,43.24,"69,497"
"TRINET GROUP, INC. (XNYS:TNET)",TNET,Miscellaneous,$83.25,-0.48,-0.57%,5493723527,153754,$86.31,$27.79,1.47,20.96,"318,158"
TEEKAY TANKERS LTD. (XNYS:TNK),TNK,Consumer Services,$13.35,0.47,3.65%,449895000,218930,$26.92,$8.90,0.25,1.96,"666,550"
TSAKOS ENERGY NAVIGATION LIMITED (XNYS:TNP),TNP,Transportation,$9.30,0.22,2.42%,174663756,16915,$23.61,$7.06,0.5,6.96,"92,833"
"TOLL BROTHERS, INC. (XNYS:TOL)",TOL,Capital Goods,$53.63,0.59,1.11%,6586893609,734965,$56.96,$13.28,1.55,15.41,"1,903,933"
Total SE (XNYS:TOT),TOT,Energy,$47.30,0.55,1.18%,1.24E+11,1244452,$48.94,$22.13,1.03,0,"2,789,338"
"Turning Point Brands, Inc. (XNYS:TPB)",TPB,Consumer Non-Durables,$49.33,-2.26,-4.38%,941948260,99615,$61.08,$14.09,0.57,30.7,"264,811"
TUTOR PERINI CORPORATION (XNYS:TPC),TPC,Basic Industries,$16.04,0.49,3.15%,816658956,148867,$18.42,$2.61,1.43,7.34,"404,547"
TPG Pace Beneficial Finance Corp. (XNYS:TPGY),TPGY,Finance,$25.79,0.785,3.14%,1128093750,932873,$34.28,$9.76,#FIELD!,0,"2,175,945"
"TRI POINTE HOMES, INC. (XNYS:TPH)",TPH,Capital Goods,$19.21,0.06,0.31%,2289920481,501781,$22.17,$5.89,1.47,8.71,"1,669,665"
TEXAS PACIFIC LAND CORPORATION (XNYS:TPL),TPL,Energy,"$1,113.50",5.72,0.52%,8636479706,12477,"$1,190.00",$290.73,2.18,48.81,"40,733"
"TAPESTRY, INC. (XNYS:TPR)",TPR,Consumer Non-Durables,$42.37,0.87,2.10%,11772001272,2073469,$43.25,$10.18,1.54,0,"5,104,544"
TRIPLEPOINT VENTURE GROWTH BDC CORP. (XNYS:TPVG),TPVG,,$14.47,0.1,0.70%,446076848,195569,$14.79,$2.78,1.9,11.83,"194,507"
TRIPLEPOINT VENTURE GROWTH BDC CORP. (XNYS:TPVY),TPVY,,$25.29,-0.08,-0.32%,0,6589,$26.51,$12.50,1.9,0,"1,395"
"TEMPUR SEALY INTERNATIONAL, INC. (XNYS:TPX)",TPX,Consumer Durables,$35.32,0.49,1.41%,7252785506,1390926,$35.43,$5.50,2.06,21.3,"2,520,839"
Tortoise Pwr & Engy Infr (XNYS:TPZ),TPZ,,$11.91,0.01,0.08%,81858943,24987,$15.84,$3.77,1.06,#FIELD!,"29,532"
"TOOTSIE ROLL INDUSTRIES, INC. (XNYS:TR)",TR,Consumer Non-Durables,$31.14,0.185,0.60%,2066144940,247849,$58.98,$28.99,-0.13,35.54,"954,949"
TEJON RANCH CO. (XNYS:TRC),TRC,Finance,$16.75,-0.11,-0.65%,439467271,24474,$17.90,$12.12,0.58,48.33,"73,661"
TREBIA ACQUISITION CORP. (XNYS:TREB),TREB,Finance,$10.50,-0.205,-1.92%,678895313,427198,$11.99,$9.72,#FIELD!,0,"344,093"
TRECORA RESOURCES (XNYS:TREC),TREC,Energy,$7.25,-0.08,-1.09%,179924649,44271,$7.47,$4.23,0.72,0,"74,142"
"TREX COMPANY, INC. (XNYS:TREX)",TREX,Basic Industries,$93.03,-0.845,-0.90%,10772248767,324379,$107.64,$28.11,1.47,62.13,"852,703"
TARGA RESOURCES CORP. (XNYS:TRGP),TRGP,Public Utilities,$32.42,0.36,1.12%,7412970655,582293,$35.05,$3.66,3.03,0,"1,856,819"
THOMSON REUTERS CORPORATION (XNYS:TRI),TRI,Consumer Services,$89.11,1.02,1.16%,44132192832,289070,$89.97,$52.23,0.29,38.31,"550,650"
"TRINITY INDUSTRIES, INC. (XNYS:TRN)",TRN,Capital Goods,$31.90,-1.01,-3.07%,3540011808,250529,$33.77,$14.53,1.48,0,"979,350"
TERRENO REALTY CORPORATION (XNYS:TRNO),TRNO,Finance,$55.53,-0.87,-1.54%,3811962912,138656,$64.24,$42.12,0.56,48.46,"293,235"
TRONOX HOLDINGS PLC (XNYS:TROX),TROX,Basic Industries,$17.97,-0.11,-0.61%,2579727898,768770,$21.36,$3.97,2.68,0,"2,124,396"
TC Energy Corporation (XNYS:TRP),TRP,Public Utilities,$43.66,1.12,2.63%,41043196074,1594540,$55.25,$32.37,0.74,11.44,"2,489,975"
TURQUOISE HILL RESOURCES LTD. (XNYS:TRQ),TRQ,Basic Industries,$15.87,0.43,2.79%,3193542794,966454,$16.86,$3.01,2.01,8.13,"998,757"
TRITON INTERNATIONAL LIMITED (XNYS:TRTN),TRTN,Technology,$57.92,0.67,1.17%,3973724738,181797,$60.85,$19.80,1.72,13.69,"512,889"
"TPG RE FINANCE TRUST, INC. (XNYS:TRTX)",TRTX,Consumer Services,$10.97,0.04,0.37%,843543734,164206,$20.07,$2.41,1.98,0,"358,274"
TRANSUNION (XNYS:TRU),TRU,Finance,$88.52,2.735,3.19%,16879810500,1272174,$102.80,$52.50,1.27,48.06,"1,496,196"
"The Travelers Companies, Inc. (XNYS:TRV)",TRV,Finance,$150.39,-0.005,0.00%,37929255777,580183,$152.29,$76.99,0.77,14.34,"1,301,403"
Tenaris SA (XNYS:TS),TS,Basic Industries,$21.65,0.09,0.42%,12779311185,2074580,$21.97,$8.86,1.88,0,"2,141,105"
Trinseo SA (XNYS:TSE),TSE,Basic Industries,$68.19,-1.205,-1.74%,2621034332,280065,$70.06,$14.16,1.67,454.66,"420,037"
TCW Strategic Income (XNYS:TSI),TSI,,$5.68,0.06,1.07%,271211134,97054,$5.97,$3.89,#FIELD!,#FIELD!,"139,890"
"SIXTH STREET SPECIALTY LENDING, INC. (XNYS:TSLX)",TSLX,,$22.04,0.12,0.55%,1569448079,429375,$22.60,$10.85,1.27,8.31,"539,944"
"Taiwan Semiconductor Manufacturing Co., Ltd. (XNYS:TSM)",TSM,Technology,$127.15,-1.9846,-1.54%,6.59E+11,5118749,$142.20,$42.70,0.97,36.3,"12,397,772"
"TYSON FOODS, INC. (XNYS:TSN)",TSN,Consumer Non-Durables,$68.91,0.37,0.54%,25133725878,727604,$71.52,$42.57,0.82,12.37,"2,202,069"
"TOWNSQUARE MEDIA, INC. (XNYS:TSQ)",TSQ,Consumer Services,$10.36,-0.34,-3.18%,196614100,21140,$11.25,$3.54,1.91,0,"128,401"
Trane Technologies plc (XNYS:TT),TT,Capital Goods,$158.18,-0.29,-0.18%,37714651766,469807,$161.00,$70.00,0.99,39.44,"1,285,804"
THE TORO COMPANY (XNYS:TTC),TTC,Capital Goods,$101.51,-1.22,-1.19%,10965497055,176050,$103.27,$52.07,0.77,33.85,"358,782"
"TETRA TECHNOLOGIES, INC. (XNYS:TTI)",TTI,Energy,$2.56,0.05,1.99%,322500424,1594109,$2.78,$0.22,3.26,0,"4,187,779"
TATA MOTORS LIMITED (XNYS:TTM),TTM,Capital Goods,$23.49,0.92,4.08%,17987752481,1435284,$23.60,$3.92,2.13,0,"2,237,647"
Tortoise Pipelne & Enrgy (XNYS:TTP),TTP,,$20.28,0.16,0.80%,47463211,5448,$42.00,$8.00,2.01,#FIELD!,"9,502"
TELUS Corporation (XNYS:TU),TU,Public Utilities,$20.70,0.17,0.83%,26847900000,505754,$21.62,$13.54,0.52,27.65,"1,776,808"
TUFIN SOFTWARE TECHNOLOGIES LTD (XNYS:TUFN),TUFN,Technology,$12.66,0.1001,0.80%,446018526,92249,$20.11,$5.79,#FIELD!,0,"446,625"
TUPPERWARE BRANDS CORPORATION (XNYS:TUP),TUP,Consumer Non-Durables,$32.28,-0.42,-1.28%,1587369936,182668,$38.59,$1.15,3.06,100.68,"641,124"
Grupo Televisa SAB (XNYS:TV),TV,Consumer Services,$7.68,0.24,3.23%,4279696404,945443,$9.64,$4.65,1.25,0,"1,587,320"
Tennessee Valley Authority (XNYS:TVC),TVC,Public Utilities,$25.31,0.11,0.44%,0,2088,$27.25,$23.08,#FIELD!,0,"18,598"
Tennessee Valley Authority (XNYS:TVE),TVE,Public Utilities,$25.33,0.045,0.18%,0,5233,$27.90,$23.15,#FIELD!,0,"11,172"
"TITAN INTERNATIONAL, INC. (XNYS:TWI)",TWI,Basic Industries,$8.30,-0.09,-1.07%,509428942,144248,$9.07,$1.05,2.47,0,"459,825"
TWILIO INC. (XNYS:TWLO),TWLO,Technology,$401.17,-14.61,-3.51%,65884845932,970056,$457.30,$68.06,1.5,0,"2,520,082"
Taiwan Fund (XNYS:TWN),TWN,,$28.57,-0.41,-1.42%,213322191,4803,$30.24,$13.75,1,#FIELD!,"9,194"
Tailwind Acquisition Corp (XNYS:TWND),TWND,Finance,$10.31,-0.5801,-5.33%,430716311,6407736,$11.65,$9.55,#FIELD!,0,"378,208"
TWO HARBORS INVESTMENT CORP. (XNYS:TWO),TWO,Consumer Services,$7.21,0.02,0.28%,1973404989,1486491,$14.58,$2.25,1.85,0,"4,891,637"
